ID,HBO1,HHB1,HBO2,HHB2,Thickness,complete
1,5.0,2.5,25,15,10,False
2,5.0,2.5,25,15,12,False
3,5.0,2.5,25,15,14,False
4,5.0,2.5,25,15,16,False
5,5.0,2.5,25,15,18,False
6,5.0,2.5,25,15,20,False
7,5.0,2.5,25,17,10,False
8,5.0,2.5,25,17,12,False
9,5.0,2.5,25,17,14,False
10,5.0,2.5,25,17,16,False
11,5.0,2.5,25,17,18,False
12,5.0,2.5,25,17,20,False
13,5.0,2.5,25,19,10,False
14,5.0,2.5,25,19,12,False
15,5.0,2.5,25,19,14,False
16,5.0,2.5,25,19,16,False
17,5.0,2.5,25,19,18,False
18,5.0,2.5,25,19,20,False
19,5.0,2.5,25,21,10,False
20,5.0,2.5,25,21,12,False
21,5.0,2.5,25,21,14,False
22,5.0,2.5,25,21,16,False
23,5.0,2.5,25,21,18,False
24,5.0,2.5,25,21,20,False
25,5.0,2.5,25,23,10,False
26,5.0,2.5,25,23,12,False
27,5.0,2.5,25,23,14,False
28,5.0,2.5,25,23,16,False
29,5.0,2.5,25,23,18,False
30,5.0,2.5,25,23,20,False
31,5.0,2.5,25,25,10,False
32,5.0,2.5,25,25,12,False
33,5.0,2.5,25,25,14,False
34,5.0,2.5,25,25,16,False
35,5.0,2.5,25,25,18,False
36,5.0,2.5,25,25,20,False
37,5.0,2.5,25,27,10,False
38,5.0,2.5,25,27,12,False
39,5.0,2.5,25,27,14,False
40,5.0,2.5,25,27,16,False
41,5.0,2.5,25,27,18,False
42,5.0,2.5,25,27,20,False
43,5.0,2.5,25,29,10,False
44,5.0,2.5,25,29,12,False
45,5.0,2.5,25,29,14,False
46,5.0,2.5,25,29,16,False
47,5.0,2.5,25,29,18,False
48,5.0,2.5,25,29,20,False
49,5.0,2.5,25,31,10,False
50,5.0,2.5,25,31,12,False
51,5.0,2.5,25,31,14,False
52,5.0,2.5,25,31,16,False
53,5.0,2.5,25,31,18,False
54,5.0,2.5,25,31,20,False
55,5.0,2.5,25,33,10,False
56,5.0,2.5,25,33,12,False
57,5.0,2.5,25,33,14,False
58,5.0,2.5,25,33,16,False
59,5.0,2.5,25,33,18,False
60,5.0,2.5,25,33,20,False
61,5.0,2.5,25,35,10,False
62,5.0,2.5,25,35,12,False
63,5.0,2.5,25,35,14,False
64,5.0,2.5,25,35,16,False
65,5.0,2.5,25,35,18,False
66,5.0,2.5,25,35,20,False
67,5.0,2.5,28,15,10,False
68,5.0,2.5,28,15,12,False
69,5.0,2.5,28,15,14,False
70,5.0,2.5,28,15,16,False
71,5.0,2.5,28,15,18,False
72,5.0,2.5,28,15,20,False
73,5.0,2.5,28,17,10,False
74,5.0,2.5,28,17,12,False
75,5.0,2.5,28,17,14,False
76,5.0,2.5,28,17,16,False
77,5.0,2.5,28,17,18,False
78,5.0,2.5,28,17,20,False
79,5.0,2.5,28,19,10,False
80,5.0,2.5,28,19,12,False
81,5.0,2.5,28,19,14,False
82,5.0,2.5,28,19,16,False
83,5.0,2.5,28,19,18,False
84,5.0,2.5,28,19,20,False
85,5.0,2.5,28,21,10,False
86,5.0,2.5,28,21,12,False
87,5.0,2.5,28,21,14,False
88,5.0,2.5,28,21,16,False
89,5.0,2.5,28,21,18,False
90,5.0,2.5,28,21,20,False
91,5.0,2.5,28,23,10,False
92,5.0,2.5,28,23,12,False
93,5.0,2.5,28,23,14,False
94,5.0,2.5,28,23,16,False
95,5.0,2.5,28,23,18,False
96,5.0,2.5,28,23,20,False
97,5.0,2.5,28,25,10,False
98,5.0,2.5,28,25,12,False
99,5.0,2.5,28,25,14,False
100,5.0,2.5,28,25,16,False
101,5.0,2.5,28,25,18,False
102,5.0,2.5,28,25,20,False
103,5.0,2.5,28,27,10,False
104,5.0,2.5,28,27,12,False
105,5.0,2.5,28,27,14,False
106,5.0,2.5,28,27,16,False
107,5.0,2.5,28,27,18,False
108,5.0,2.5,28,27,20,False
109,5.0,2.5,28,29,10,False
110,5.0,2.5,28,29,12,False
111,5.0,2.5,28,29,14,False
112,5.0,2.5,28,29,16,False
113,5.0,2.5,28,29,18,False
114,5.0,2.5,28,29,20,False
115,5.0,2.5,28,31,10,False
116,5.0,2.5,28,31,12,False
117,5.0,2.5,28,31,14,False
118,5.0,2.5,28,31,16,False
119,5.0,2.5,28,31,18,False
120,5.0,2.5,28,31,20,False
121,5.0,2.5,28,33,10,False
122,5.0,2.5,28,33,12,False
123,5.0,2.5,28,33,14,False
124,5.0,2.5,28,33,16,False
125,5.0,2.5,28,33,18,False
126,5.0,2.5,28,33,20,False
127,5.0,2.5,28,35,10,False
128,5.0,2.5,28,35,12,False
129,5.0,2.5,28,35,14,False
130,5.0,2.5,28,35,16,False
131,5.0,2.5,28,35,18,False
132,5.0,2.5,28,35,20,False
133,5.0,2.5,31,15,10,False
134,5.0,2.5,31,15,12,False
135,5.0,2.5,31,15,14,False
136,5.0,2.5,31,15,16,False
137,5.0,2.5,31,15,18,False
138,5.0,2.5,31,15,20,False
139,5.0,2.5,31,17,10,False
140,5.0,2.5,31,17,12,False
141,5.0,2.5,31,17,14,False
142,5.0,2.5,31,17,16,False
143,5.0,2.5,31,17,18,False
144,5.0,2.5,31,17,20,False
145,5.0,2.5,31,19,10,False
146,5.0,2.5,31,19,12,False
