HBO1,HHB1,HBO2,HHB2,Thickness,complete
6.5,6.5,28,23,12,False
6.5,6.5,28,23,14,False
6.5,6.5,28,23,16,False
6.5,6.5,28,23,18,False
6.5,6.5,28,23,20,False
6.5,6.5,28,25,10,False
6.5,6.5,28,25,12,False
6.5,6.5,28,25,14,False
6.5,6.5,28,25,16,False
6.5,6.5,28,25,18,False
6.5,6.5,28,25,20,False
6.5,6.5,28,27,10,False
6.5,6.5,28,27,12,False
6.5,6.5,28,27,14,False
6.5,6.5,28,27,16,False
6.5,6.5,28,27,18,False
6.5,6.5,28,27,20,False
6.5,6.5,28,29,10,False
6.5,6.5,28,29,12,False
6.5,6.5,28,29,14,False
6.5,6.5,28,29,16,False
6.5,6.5,28,29,18,False
6.5,6.5,28,29,20,False
6.5,6.5,28,31,10,False
6.5,6.5,28,31,12,False
6.5,6.5,28,31,14,False
6.5,6.5,28,31,16,False
6.5,6.5,28,31,18,False
6.5,6.5,28,31,20,False
6.5,6.5,28,33,10,False
6.5,6.5,28,33,12,False
6.5,6.5,28,33,14,False
6.5,6.5,28,33,16,False
6.5,6.5,28,33,18,False
6.5,6.5,28,33,20,False
6.5,6.5,28,35,10,False
6.5,6.5,28,35,12,False
6.5,6.5,28,35,14,False
6.5,6.5,28,35,16,False
6.5,6.5,28,35,18,False
6.5,6.5,28,35,20,False
6.5,6.5,31,15,10,False
6.5,6.5,31,15,12,False
6.5,6.5,31,15,14,False
6.5,6.5,31,15,16,False
6.5,6.5,31,15,18,False
6.5,6.5,31,15,20,False
6.5,6.5,31,17,10,False
6.5,6.5,31,17,12,False
6.5,6.5,31,17,14,False
6.5,6.5,31,17,16,False
6.5,6.5,31,17,18,False
6.5,6.5,31,17,20,False
6.5,6.5,31,19,10,False
6.5,6.5,31,19,12,False
6.5,6.5,31,19,14,False
6.5,6.5,31,19,16,False
6.5,6.5,31,19,18,False
6.5,6.5,31,19,20,False
6.5,6.5,31,21,10,False
6.5,6.5,31,21,12,False
6.5,6.5,31,21,14,False
6.5,6.5,31,21,16,False
6.5,6.5,31,21,18,False
6.5,6.5,31,21,20,False
6.5,6.5,31,23,10,False
6.5,6.5,31,23,12,False
6.5,6.5,31,23,14,False
