ID,HBO1,HHB1,HBO2,HHB2,Thickness,complete
65887,17.0,4.5,49,21,10,False
65888,17.0,4.5,49,21,12,False
65889,17.0,4.5,49,21,14,False
65890,17.0,4.5,49,21,16,False
65891,17.0,4.5,49,21,18,False
65892,17.0,4.5,49,21,20,False
65893,17.0,4.5,49,23,10,False
65894,17.0,4.5,49,23,12,False
65895,17.0,4.5,49,23,14,False
65896,17.0,4.5,49,23,16,False
65897,17.0,4.5,49,23,18,False
65898,17.0,4.5,49,23,20,False
65899,17.0,4.5,49,25,10,False
65900,17.0,4.5,49,25,12,False
65901,17.0,4.5,49,25,14,False
65902,17.0,4.5,49,25,16,False
65903,17.0,4.5,49,25,18,False
65904,17.0,4.5,49,25,20,False
65905,17.0,4.5,49,27,10,False
65906,17.0,4.5,49,27,12,False
65907,17.0,4.5,49,27,14,False
65908,17.0,4.5,49,27,16,False
65909,17.0,4.5,49,27,18,False
65910,17.0,4.5,49,27,20,False
65911,17.0,4.5,49,29,10,False
65912,17.0,4.5,49,29,12,False
65913,17.0,4.5,49,29,14,False
65914,17.0,4.5,49,29,16,False
65915,17.0,4.5,49,29,18,False
65916,17.0,4.5,49,29,20,False
65917,17.0,4.5,49,31,10,False
65918,17.0,4.5,49,31,12,False
65919,17.0,4.5,49,31,14,False
65920,17.0,4.5,49,31,16,False
65921,17.0,4.5,49,31,18,False
65922,17.0,4.5,49,31,20,False
65923,17.0,4.5,49,33,10,False
65924,17.0,4.5,49,33,12,False
65925,17.0,4.5,49,33,14,False
65926,17.0,4.5,49,33,16,False
65927,17.0,4.5,49,33,18,False
65928,17.0,4.5,49,33,20,False
65929,17.0,4.5,49,35,10,False
65930,17.0,4.5,49,35,12,False
65931,17.0,4.5,49,35,14,False
65932,17.0,4.5,49,35,16,False
65933,17.0,4.5,49,35,18,False
65934,17.0,4.5,49,35,20,False
65935,17.0,4.5,52,15,10,False
65936,17.0,4.5,52,15,12,False
65937,17.0,4.5,52,15,14,False
65938,17.0,4.5,52,15,16,False
65939,17.0,4.5,52,15,18,False
65940,17.0,4.5,52,15,20,False
65941,17.0,4.5,52,17,10,False
65942,17.0,4.5,52,17,12,False
65943,17.0,4.5,52,17,14,False
65944,17.0,4.5,52,17,16,False
65945,17.0,4.5,52,17,18,False
65946,17.0,4.5,52,17,20,False
65947,17.0,4.5,52,19,10,False
65948,17.0,4.5,52,19,12,False
65949,17.0,4.5,52,19,14,False
65950,17.0,4.5,52,19,16,False
65951,17.0,4.5,52,19,18,False
65952,17.0,4.5,52,19,20,False
65953,17.0,4.5,52,21,10,False
65954,17.0,4.5,52,21,12,False
65955,17.0,4.5,52,21,14,False
65956,17.0,4.5,52,21,16,False
65957,17.0,4.5,52,21,18,False
65958,17.0,4.5,52,21,20,False
65959,17.0,4.5,52,23,10,False
65960,17.0,4.5,52,23,12,False
65961,17.0,4.5,52,23,14,False
65962,17.0,4.5,52,23,16,False
65963,17.0,4.5,52,23,18,False
65964,17.0,4.5,52,23,20,False
65965,17.0,4.5,52,25,10,False
65966,17.0,4.5,52,25,12,False
65967,17.0,4.5,52,25,14,False
65968,17.0,4.5,52,25,16,False
65969,17.0,4.5,52,25,18,False
65970,17.0,4.5,52,25,20,False
65971,17.0,4.5,52,27,10,False
65972,17.0,4.5,52,27,12,False
65973,17.0,4.5,52,27,14,False
65974,17.0,4.5,52,27,16,False
65975,17.0,4.5,52,27,18,False
65976,17.0,4.5,52,27,20,False
65977,17.0,4.5,52,29,10,False
65978,17.0,4.5,52,29,12,False
65979,17.0,4.5,52,29,14,False
65980,17.0,4.5,52,29,16,False
65981,17.0,4.5,52,29,18,False
65982,17.0,4.5,52,29,20,False
65983,17.0,4.5,52,31,10,False
65984,17.0,4.5,52,31,12,False
65985,17.0,4.5,52,31,14,False
65986,17.0,4.5,52,31,16,False
65987,17.0,4.5,52,31,18,False
65988,17.0,4.5,52,31,20,False
65989,17.0,4.5,52,33,10,False
65990,17.0,4.5,52,33,12,False
65991,17.0,4.5,52,33,14,False
65992,17.0,4.5,52,33,16,False
65993,17.0,4.5,52,33,18,False
65994,17.0,4.5,52,33,20,False
65995,17.0,4.5,52,35,10,False
65996,17.0,4.5,52,35,12,False
65997,17.0,4.5,52,35,14,False
65998,17.0,4.5,52,35,16,False
65999,17.0,4.5,52,35,18,False
66000,17.0,4.5,52,35,20,False
